=== HWP 위치 정보 메모 삽입 ===
로그: C:\win32hwp\logs\pos_memo_20260118_135850.log

ROT 방식으로 연결 성공
HWP 연결 성공!

[0] L:0, P:0, C:본문
[293] L:0, P:3, C:nwno
[294] L:0, P:2, C:nwno
[295] L:0, P:3, C:nwno
[296] L:0, P:2, C:nwno
[297] L:0, P:3, C:nwno
[298] L:0, P:2, C:nwno
[299] L:0, P:3, C:nwno
[300] L:0, P:2, C:nwno
[301] L:0, P:3, C:nwno
[302] L:0, P:2, C:nwno
[303] L:0, P:3, C:nwno
[304] L:0, P:2, C:nwno
[305] L:0, P:3, C:nwno
[306] L:0, P:2, C:nwno
[307] L:0, P:3, C:nwno
[308] L:0, P:2, C:nwno
[309] L:0, P:3, C:nwno
[310] L:0, P:2, C:nwno
[311] L:0, P:3, C:nwno
[312] L:0, P:2, C:nwno
[313] L:0, P:3, C:nwno
[314] L:0, P:2, C:nwno
[315] L:0, P:3, C:nwno
[316] L:0, P:2, C:nwno
[317] L:0, P:3, C:nwno
[318] L:0, P:2, C:nwno
[319] L:0, P:3, C:nwno
[320] L:0, P:2, C:nwno
[321] L:0, P:3, C:nwno
[322] L:0, P:2, C:nwno
[323] L:0, P:3, C:nwno
[324] L:0, P:2, C:nwno
[325] L:0, P:3, C:nwno
[326] L:0, P:2, C:nwno
[327] L:0, P:3, C:nwno
[328] L:0, P:2, C:nwno
[329] L:0, P:3, C:nwno
[330] L:0, P:2, C:nwno
[331] L:0, P:3, C:nwno
[332] L:0, P:2, C:nwno
[333] L:0, P:3, C:nwno

총 334개 문단 발견

=== 메모 삽입 시작 ===
[0] 메모 삽입: L:0, P:0, C:본문
[1] 메모 삽입: L:0, P:1, C:nwno
[2] 메모 삽입: L:0, P:2, C:nwno
[3] 메모 삽입: L:0, P:3, C:nwno
[4] 메모 삽입: L:0, P:4, C:tbl
[5] 메모 삽입: L:0, P:5, C:tbl
[6] 메모 삽입: L:0, P:6, C:tbl
[7] 메모 삽입: L:0, P:7, C:tbl
[8] 메모 삽입: L:0, P:8, C:tbl
[9] 메모 삽입: L:0, P:9, C:tbl
[10] 메모 삽입: L:0, P:10, C:tbl
[11] 메모 삽입: L:0, P:11, C:tbl
[12] 메모 삽입: L:0, P:12, C:tbl
[13] 메모 삽입: L:0, P:13, C:tbl
[14] 메모 삽입: L:0, P:14, C:tbl

총 15개 메모 삽입 완료

완료! 로그: C:\win32hwp\logs\pos_memo_20260118_135850.log
